2026-06-17 01:01:36,329 - root - [logging_config.py:61] - INFO - Logging initialized. Log file: /home/tuton/Kanto2026RPi/src/config/../logs/robot_20260617_010135.log
2026-06-17 01:01:37,785 - mazeUtils.device.LiDAR - [LiDAR.py:36] - INFO - Available ports: <ydlidar.Str2strMap; proxy of <Swig Object of type 'std::map< std::string,std::string > *' at 0x7f9c061230> >
2026-06-17 01:01:45,707 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,708 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,708 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,709 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,710 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,711 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,711 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,712 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,713 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,714 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,714 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,715 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,716 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,716 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,717 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,717 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,718 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,718 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,718 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,719 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,719 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,719 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,719 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,720 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,720 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,720 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,720 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,721 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,721 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,722 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,722 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,723 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,724 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,724 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,725 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
