2026-06-17 01:15:33,367 - root - [logging_config.py:61] - INFO - Logging initialized. Log file: /home/tuton/Kanto2026RPi/src/config/../logs/robot_20260617_011532.log
2026-06-17 01:15:34,971 - mazeUtils.device.LiDAR - [LiDAR.py:36] - INFO - Available ports: <ydlidar.Str2strMap; proxy of <Swig Object of type 'std::map< std::string,std::string > *' at 0x7f94f11230> >
2026-06-17 01:15:38,926 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.NORTH, Angle: 0, Distance: 396.91113854742224 cm
2026-06-17 01:15:38,927 - mazeUtils.moveTile - [moveTile.py:537] - DEBUG - Front LiDAR distance: 396.91113854742224 cm, TSD10 distance: 387.5 cm
2026-06-17 01:15:38,929 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.EAST, Angle: 270, Distance: 230.93786416374974 cm
2026-06-17 01:15:38,930 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.SOUTH, Angle: 180, Distance: 261.3780632910136 cm
2026-06-17 01:15:38,931 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.WEST, Angle: 90, Distance: 60.427445739237726 cm
2026-06-17 01:15:38,932 - __main__ - [main.py:70] - INFO - Initial Map:
2026-06-17 01:15:38,941 - __main__ - [main.py:71] - INFO - Current position: (20, 20, 0), front direction: absDirection.NORTH
Layer 0 (altitude=0.0cm, offset=(0.0cm, 0.0cm)):
Known map area: x=20..20, y=20..20
+   +
  @  
+   +
2026-06-17 01:15:38,943 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:15:38,944 - __main__ - [main.py:74] - INFO - Next Direction: []
2026-06-17 01:15:38,944 - __main__ - [main.py:75] - INFO - Exploration started.
2026-06-17 01:15:38,945 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:15:38,947 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
